10000000005857	KAYAL SADHYA (SATURDAY)	KAYAL SADHYA (SATURDAY)	10000000000272	18.90	0.00	51		NORMAL	PCS	122
10000000005858	LAGOON BIRYANI (FRIDAY/SATURDAY/SUNDAY)	LAGOON BIRYANI (FRIDAY/SATURDAY/SUNDAY)	10000000000273	17.85	0.00	52		NORMAL	PCS	0
10000000005859	KISMATH CHICKEN DUM BIRYANI	KISMATH CHICKEN DUM BIRYANI	10000000000273	13.65	0.00	53		NORMAL	PCS	0
10000000005860	KISMATH FRESH MUTTON BIRYANI	KISMATH FRESH MUTTON BIRYANI	10000000000273	17.85	0.00	54		NORMAL	PCS	0
10000000005861	KISMATH FRESH BEEF BIRYANI	KISMATH FRESH BEEF BIRYANI	10000000000273	15.75	0.00	55		NORMAL	PCS	0
10000000005862	KISMATH FISH BIRYANI	KISMATH FISH BIRYANI	10000000000273	17.85	0.00	56		NORMAL	PCS	0
10000000005863	PRAWNS BIRYANI	PRAWNS BIRYANI	10000000000273	19.95	0.00	57		NORMAL	PCS	0
10000000005864	CHICKEN 65 BIRYANI	CHICKEN 65 BIRYANI	10000000000273	16.80	0.00	58		NORMAL	PCS	0
10000000005865	HYDERABADI BIRYANI	HYDERABADI BIRYANI	10000000000273	15.75	0.00	59		NORMAL	PCS	0
10000000005866	EGG BIRYANI	EGG BIRYANI	10000000000273	10.50	0.00	60		NORMAL	PCS	0
10000000005867	VEGETABLE BIRYANI	VEGETABLE BIRYANI	10000000000273	10.50	0.00	61		NORMAL	PCS	0
10000000005868	CHICKEN POTHI BIRYANI	CHICKEN POTHI BIRYANI	10000000000273	15.75	0.00	62		NORMAL	PCS	0
10000000005869	BEEF POTHI BIRYANI	BEEF POTHI BIRYANI	10000000000273	17.85	0.00	63		NORMAL	PCS	0
10000000005870	MUTTON POTHI BIRYANI	MUTTON POTHI BIRYANI	10000000000273	19.95	0.00	64		NORMAL	PCS	0
10000000005871	KISMATH SPECIAL FRIED RICE	KISMATH SPECIAL FRIED RICE	10000000000274	18.90	0.00	65		NORMAL	PCS	0
10000000005872	CHICKEN FRIED RICE	CHICKEN FRIED RICE	10000000000274	14.70	0.00	66		NORMAL	PCS	0
10000000005873	FRIED RICE - EGG	FRIED RICE - EGG	10000000000274	12.60	0.00	67		NORMAL	PCS	0
10000000005874	FRIED RICE - VEG	FRIED RICE - VEG	10000000000274	12.60	0.00	68		NORMAL	PCS	0
10000000005875	MIXED FRIED RICE	MIXED FRIED RICE	10000000000274	17.85	0.00	69		NORMAL	PCS	0
10000000005876	SCHEZWAN FRIED RICE MIXED	SCHEZWAN FRIED RICE MIXED	10000000000274	18.90	0.00	70		NORMAL	PCS	0
10000000005877	SCHEZWAN FRIED RICE - CHI	SCHEZWAN FRIED RICE - CHI	10000000000274	15.75	0.00	71		NORMAL	PCS	0
10000000005878	SCHEZWAN FRIED RICE - VEG	SCHEZWAN FRIED RICE - VEG	10000000000274	13.65	0.00	72		NORMAL	PCS	0
10000000005879	SINGAPORE FRIED RICE - CHI	SINGAPORE FRIED RICE - CHI	10000000000274	16.80	0.00	73		NORMAL	PCS	0
10000000005880	SINGAPORE FRIED RICE - VEG	SINGAPORE FRIED RICE - VEG	10000000000274	15.75	0.00	74		NORMAL	PCS	0
10000000005881	JEERA RICE	JEERA RICE	10000000000274	10.50	0.00	75		NORMAL	PCS	0
10000000005882	BIRYANI RICE	BIRYANI RICE	10000000000274	7.35	0.00	76		NORMAL	PCS	0
10000000005883	GHEE RICE	GHEE RICE	10000000000274	7.35	0.00	77		NORMAL	PCS	0
10000000005884	STEAM RICE	STEAM RICE	10000000000274	5.20	0.00	78		NORMAL	PCS	0
10000000005885	MANGOLIAN RICE - CHI	MANGOLIAN RICE - CHI	10000000000274	17.00	0.00	79		NORMAL	PCS	0
10000000005886	MANGOLIAN RICE - EGG	MANGOLIAN RICE - EGG	10000000000274	15.00	0.00	80		NORMAL	PCS	0
10000000005887	MANGOLIAN RICE - VEG	MANGOLIAN RICE - VEG	10000000000274	13.00	0.00	81		NORMAL	PCS	0
10000000005888	CORN BUTTER RICE	CORN BUTTER RICE	10000000000274	15.75	0.00	82		NORMAL	PCS	0
10000000005889	CHILLI GARLIC RICE	CHILLI GARLIC RICE	10000000000274	15.75	0.00	83		NORMAL	PCS	0
10000000005890	CHICKEN NOODLES	CHICKEN NOODLES	10000000000275	15.75	0.00	84		NORMAL	PCS	0
10000000005891	NOODLES - EGG	NOODLES - EGG	10000000000275	12.60	0.00	85		NORMAL	PCS	0
10000000005892	NOODLES - VEG	NOODLES - VEG	10000000000275	12.60	0.00	86		NORMAL	PCS	0
10000000005893	MIXED NOODLES	MIXED NOODLES	10000000000275	17.85	0.00	87		NORMAL	PCS	0
10000000005894	SINGAPORE NOODLES - VEG	SINGAPORE NOODLES - VEG	10000000000275	14.70	0.00	88		NORMAL	PCS	0
10000000005895	SINGAPORE NOODLES - CHI	SINGAPORE NOODLES - CHI	10000000000275	16.80	0.00	89		NORMAL	PCS	0
10000000005896	PRAWNS NOODLES	PRAWNS NOODLES	10000000000275	18.90	0.00	90		NORMAL	PCS	0
10000000005897	SCHEZWAN CHICKEN NOODLES	SCHEZWAN CHICKEN NOODLES	10000000000275	16.80	0.00	91		NORMAL	PCS	0
10000000005898	SCHEZWAN NOODLES - EGG	SCHEZWAN NOODLES - EGG	10000000000275	14.70	0.00	92		NORMAL	PCS	0
10000000005899	SCHEZWAN NOODLES - VEG	SCHEZWAN NOODLES - VEG	10000000000275	14.70	0.00	93		NORMAL	PCS	0
10000000005900	SCHEZWAN MIXED NOODLES	SCHEZWAN MIXED NOODLES	10000000000275	18.90	0.00	94		NORMAL	PCS	0
10000000005901	AMERICAN CHOP SUEY	AMERICAN CHOP SUEY	10000000000275	22.05	0.00	95		NORMAL	PCS	0
10000000005902	CHILLI GARLIC NOODLES	CHILLI GARLIC NOODLES	10000000000275	16.80	0.00	96		NORMAL	PCS	0
10000000005903	CRISPY FRIED VEG	CRISPY FRIED VEG	10000000000276	13.00	0.00	97		NORMAL	PCS	0
10000000005904	MUSHROOM PEPPER DRY	MUSHROOM PEPPER DRY	10000000000276	13.00	0.00	98		NORMAL	PCS	0
10000000005905	GOLDEN PRAWNS FRY	GOLDEN PRAWNS FRY	10000000000276	13.00	0.00	99		NORMAL	PCS	0
