10000000000271	1	BREAKFAST
10000000000272	10000000000272	LUNCH
10000000000273	10000000000273	BIRIYANI
10000000000274	10000000000274	FRIED RICE
10000000000275	10000000000275	NOODLES
10000000000276	10000000000276	STARTERS
10000000000277	10000000000277	SOUPS
10000000000278	10000000000278	KISMATH SPECIALS
10000000000279	10000000000279	NORTH INDIAN
10000000000280	10000000000280	SOUTH INDIAN
10000000000281	10000000000281	BEEF
10000000000282	10000000000282	MUTTON
10000000000283	10000000000283	SEAFOOD
10000000000284	10000000000284	BURGER
10000000000285	10000000000285	KIDS MEALS
10000000000286	10000000000286	CHARCOAL SPECIALS
10000000000287	10000000000287	SANDWICH
10000000000288	10000000000288	CLUB SANDWICH
10000000000289	10000000000289	DESSERT
10000000000290	10000000000290	JUICE
10000000000291	10000000000291	SPECIAL DRINKS
